foe,year,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2007,189674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2007,227546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2007,2934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2007,15652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2008,416043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2008,240578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2008,472564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2008,139136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2008,86126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2008,410601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2008,154239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2008,289280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2008,550761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2008,1704875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2008,989704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2008,199016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2008,236277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2008,4523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2008,22353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2009,450653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2009,257979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2009,520249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2009,151726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2009,91876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2009,430861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2009,163978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2009,315291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2009,566885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2009,1829966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2009,1069134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2009,223051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2009,257983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2009,6437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2009,30716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2010,496330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2010,260092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2010,561059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2010,159467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2010,99576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2010,465021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2010,181252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2010,345628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2010,598672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2010,1904693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2010,1165382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Law,2010,219411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Creative arts,2010,277939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospitality,2010,6309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mixed field,2010,36353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science,2011,535660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IT,2011,262714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Engineering,2011,576798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Architecture,2011,163769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agriculture,2011,101141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other health,2011,495462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Medical,2011,210542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nursing,2011,358067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education,2011,617833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce,2011,1879338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humanities,2011,1201838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
